seg_id,pci,pci_desc,maintenance_priority
SS-000076-PV1,35.85,Very Poor,High
SS-000078-PV1,32.11,Very Poor,High
SS-000079-PV1,86.4,Good,Routine
SS-000080-PV1,90.1,Good,Routine
SS-000081-PV1,39.12,Very Poor,High
SS-000082-PV1,66.94,Fair,Low
SS-000083-PV1,64.12,Fair,Low
SS-000084-PV1,71.77,Satisfactory,Routine
SS-000085-PV1,74.54,Satisfactory,Routine
SS-000086-PV1,74.39,Satisfactory,Routine
SS-000087-PV1,66.75,Fair,Low
SS-000088-PV1,87.6,Good,Routine
SS-000089-PV1,43.04,Poor,Medium
SS-000090-PV1,83.88,Satisfactory,Routine
SS-000091-PV1,98.8,Good,Routine
SS-000092-PV1,94.0,Good,Routine
SS-000093-PV1,100.0,Good,Routine
SS-000094-PV1,82.06,Satisfactory,Routine
SS-000095-PV1,77.48,Satisfactory,Routine
SS-000096-PV1,70.12,Satisfactory,Routine
SS-000097-PV1,61.66,Fair,Low
SS-000098-PV1,62.29,Fair,Low
SS-000099-PV1,83.62,Satisfactory,Routine
SS-000100-PV1,74.32,Satisfactory,Routine
SS-000101-PV1,67.16,Fair,Low
SS-000102-PV1,57.02,Fair,Low
SS-000103-PV1,74.66,Satisfactory,Routine
SS-000104-PV1,77.34,Satisfactory,Routine
SS-000105-PV1,61.65,Fair,Low
SS-000106-PV1,67.85,Fair,Low
SS-000107-PV1,82.7,Satisfactory,Routine
SS-000108-PV1,77.96,Satisfactory,Routine
SS-000109-PV1,74.64,Satisfactory,Routine
SS-000110-PV1,83.62,Satisfactory,Routine
SS-000111-PV1,78.8,Satisfactory,Routine
SS-000112-PV1,85.0,Good,Routine
SS-000113-PV1,83.0,Satisfactory,Routine
SS-000114-PV1,79.64,Satisfactory,Routine
SS-000115-PV1,93.1,Good,Routine
SS-000116-PV1,82.72,Satisfactory,Routine
SS-000117-PV1,80.72,Satisfactory,Routine
SS-000118-PV1,85.6,Good,Routine
SS-000119-PV1,90.4,Good,Routine
SS-000120-PV1,87.5,Good,Routine
SS-000121-PV1,82.0,Satisfactory,Routine
SS-000122-PV1,50.23,Poor,Medium
SS-000123-PV1,68.28,Fair,Low
SS-000124-PV1,87.3,Good,Routine
SS-000125-PV1,89.0,Good,Routine
SS-000126-PV1,87.6,Good,Routine
SS-000127-PV1,84.6,Satisfactory,Routine
SS-000128-PV1,86.5,Good,Routine
SS-000129-PV1,90.0,Good,Routine
SS-000130-PV1,91.5,Good,Routine
SS-000131-PV1,79.84,Satisfactory,Routine
SS-000132-PV1,97.0,Good,Routine
SS-000133-PV1,97.2,Good,Routine
SS-000134-PV1,71.68,Satisfactory,Routine
SS-000135-PV1,76.9,Satisfactory,Routine
SS-000136-PV1,75.27,Satisfactory,Routine
SS-000137-PV1,88.2,Good,Routine
SS-000138-PV1,67.7,Fair,Low
SS-000139-PV1,66.39,Fair,Low
SS-000140-PV1,86.6,Good,Routine
SS-000141-PV1,100.0,Good,Routine
SS-000142-PV1,100.0,Good,Routine
SS-000144-PV1,92.0,Good,Routine
SS-000145-PV1,48.78,Poor,Medium
SS-000146-PV1,74.32,Satisfactory,Routine
SS-000147-PV1,78.45,Satisfactory,Routine
SS-000148-PV1,97.8,Good,Routine
SS-000149-PV1,100.0,Good,Routine
SS-000150-PV1,80.91,Satisfactory,Routine
SS-000151-PV1,75.89,Satisfactory,Routine
SS-000152-PV1,91.2,Good,Routine
SS-000153-PV1,75.7,Satisfactory,Routine
SS-000154-PV1,82.24,Satisfactory,Routine
SS-000155-PV1,87.5,Good,Routine
SS-000156-PV1,77.0,Satisfactory,Routine
SS-000157-PV1,79.22,Satisfactory,Routine
SS-000158-PV1,75.5,Satisfactory,Routine
SS-000159-PV1,66.17,Fair,Low
SS-000160-PV1,84.3,Satisfactory,Routine
SS-000161-PV1,73.4,Satisfactory,Routine
SS-000162-PV1,81.65,Satisfactory,Routine
SS-000163-PV1,64.92,Fair,Low
SS-000164-PV1,84.82,Satisfactory,Routine
SS-000165-PV1,69.12,Fair,Low
SS-000166-PV1,84.5,Satisfactory,Routine
SS-000167-PV1,66.01,Fair,Low
SS-000168-PV1,78.47,Satisfactory,Routine
SS-000169-PV1,79.2,Satisfactory,Routine
SS-000170-PV1,77.2,Satisfactory,Routine
SS-000171-PV1,81.2,Satisfactory,Routine
SS-000172-PV1,82.4,Satisfactory,Routine
SS-000173-PV1,94.6,Good,Routine
SS-000174-PV1,77.8,Satisfactory,Routine
SS-000175-PV1,89.1,Good,Routine
SS-000176-PV1,84.0,Satisfactory,Routine
SS-000177-PV1,96.0,Good,Routine
SS-000178-PV1,60.86,Fair,Low
SS-000179-PV1,60.56,Fair,Low
SS-000180-PV1,74.71,Satisfactory,Routine
SS-000181-PV1,83.2,Satisfactory,Routine
SS-000182-PV1,90.2,Good,Routine
SS-000187-PV1,100.0,Good,Routine
SS-000191-PV1,82.2,Satisfactory,Routine
SS-000192-PV1,56.57,Fair,Low
SS-000193-PV1,100.0,Good,Routine
SS-000194-PV1,100.0,Good,Routine
SS-000195-PV1,68.2,Fair,Low
SS-000196-PV1,76.88,Satisfactory,Routine
SS-000197-PV1,79.64,Satisfactory,Routine
SS-000198-PV1,89.49,Good,Routine
SS-000200-PV1,90.97,Good,Routine
SS-000201-PV1,42.56,Poor,Medium
SS-000202-PV1,57.98,Fair,Low
SS-000203-PV1,59.02,Fair,Low
SS-000204-PV1,54.19,Poor,Medium
SS-000205-PV1,43.77,Poor,Medium
SS-000206-PV1,46.87,Poor,Medium
SS-000207-PV1,56.73,Fair,Low
SS-000208-PV1,52.77,Poor,Medium
SS-000209-PV1,76.87,Satisfactory,Routine
SS-000210-PV1,84.49,Satisfactory,Routine
SS-000211-PV1,78.15,Satisfactory,Routine
SS-000212-PV1,79.18,Satisfactory,Routine
SS-000213-PV1,66.41,Fair,Low
SS-000214-PV1,64.42,Fair,Low
SS-000215-PV1,68.1,Fair,Low
SS-000216-PV1,76.74,Satisfactory,Routine
SS-000217-PV1,85.08,Good,Routine
SS-000218-PV1,71.36,Satisfactory,Routine
SS-000219-PV1,84.71,Satisfactory,Routine
SS-000220-PV1,86.64,Good,Routine
SS-000221-PV1,82.12,Satisfactory,Routine
SS-000222-PV1,76.0,Satisfactory,Routine
SS-000223-PV1,92.0,Good,Routine
SS-000224-PV1,90.6,Good,Routine
SS-000225-PV1,98.2,Good,Routine
SS-000226-PV1,88.5,Good,Routine
SS-000227-PV1,91.8,Good,Routine
SS-000228-PV1,94.0,Good,Routine
SS-000229-PV1,99.2,Good,Routine
SS-000230-PV1,100.0,Good,Routine
SS-000231-PV1,96.14,Good,Routine
SS-000232-PV1,85.8,Good,Routine
SS-000233-PV1,49.88,Poor,Medium
SS-000234-PV1,96.2,Good,Routine
SS-000235-PV1,64.38,Fair,Low
SS-000236-PV1,46.04,Poor,Medium
SS-000237-PV1,40.24,Poor,Medium
SS-000238-PV1,57.79,Fair,Low
SS-000239-PV1,75.2,Satisfactory,Routine
SS-000240-PV1,84.24,Satisfactory,Routine
SS-000241-PV1,60.96,Fair,Low
SS-000242-PV1,38.21,Very Poor,High
SS-000243-PV1,74.19,Satisfactory,Routine
SS-000244-PV1,87.8,Good,Routine
SS-000245-PV1,100.0,Good,Routine
SS-000246-PV1,77.39,Satisfactory,Routine
SS-000247-PV1,73.0,Satisfactory,Routine
SS-000248-PV1,88.83,Good,Routine
SS-000250-PV1,87.0,Good,Routine
SS-000251-PV1,88.6,Good,Routine
SS-000252-PV1,75.56,Satisfactory,Routine
SS-000253-PV1,77.6,Satisfactory,Routine
SS-000254-PV1,76.36,Satisfactory,Routine
SS-000255-PV1,85.7,Good,Routine
SS-000256-PV1,79.7,Satisfactory,Routine
SS-000257-PV1,40.97,Poor,Medium
SS-000258-PV1,53.56,Poor,Medium
SS-000259-PV1,21.98,Serious,Critical
SS-000260-PV1,87.64,Good,Routine
SS-000261-PV1,75.74,Satisfactory,Routine
SS-000262-PV1,51.0,Poor,Medium
SS-000263-PV1,50.99,Poor,Medium
SS-000264-PV1,57.64,Fair,Low
SS-000265-PV1,92.2,Good,Routine
SS-000266-PV1,62.76,Fair,Low
SS-000267-PV1,84.98,Satisfactory,Routine
SS-000268-PV1,70.29,Satisfactory,Routine
SS-000269-PV1,70.57,Satisfactory,Routine
SS-000270-PV1,74.11,Satisfactory,Routine
SS-000271-PV1,71.08,Satisfactory,Routine
SS-000272-PV1,77.29,Satisfactory,Routine
SS-000273-PV1,79.88,Satisfactory,Routine
SS-000278-PV1,48.41,Poor,Medium
SS-000279-PV1,50.99,Poor,Medium
SS-000282-PV1,16.32,Serious,Critical
SS-000283-PV1,69.15,Fair,Low
SS-000284-PV1,74.2,Satisfactory,Routine
SS-000285-PV1,100.0,Good,Routine
SS-000286-PV1,88.76,Good,Routine
SS-000287-PV1,88.6,Good,Routine
SS-000288-PV1,64.25,Fair,Low
SS-000289-PV1,81.0,Satisfactory,Routine
SS-000290-PV1,30.16,Very Poor,High
SS-000291-PV1,74.16,Satisfactory,Routine
SS-000292-PV1,82.93,Satisfactory,Routine
SS-000293-PV1,92.71,Good,Routine
SS-000294-PV1,80.97,Satisfactory,Routine
SS-000295-PV1,77.22,Satisfactory,Routine
SS-000296-PV1,69.9,Fair,Low
SS-000297-PV1,75.45,Satisfactory,Routine
SS-000298-PV1,88.0,Good,Routine
SS-000303-PV1,76.94,Satisfactory,Routine
SS-000304-PV1,27.49,Very Poor,High
SS-000305-PV1,86.78,Good,Routine
SS-000306-PV1,90.4,Good,Routine
SS-000308-PV1,25.47,Very Poor,High
SS-000309-PV1,46.5,Poor,Medium
SS-000310-PV1,25.73,Very Poor,High
SS-000311-PV1,84.48,Satisfactory,Routine
SS-000312-PV1,87.2,Good,Routine
SS-000314-PV1,25.96,Very Poor,High
SS-000315-PV1,38.92,Very Poor,High
SS-000316-PV1,23.94,Serious,Critical
SS-000317-PV1,26.77,Very Poor,High
SS-000318-PV1,23.31,Serious,Critical
SS-000319-PV1,18.87,Serious,Critical
SS-000320-PV1,72.02,Satisfactory,Routine
SS-000321-PV1,75.36,Satisfactory,Routine
SS-000322-PV1,73.13,Satisfactory,Routine
SS-000323-PV1,100.0,Good,Routine
SS-000324-PV1,94.2,Good,Routine
SS-000327-PV1,51.21,Poor,Medium
SS-000328-PV1,33.33,Very Poor,High
SS-000330-PV1,19.13,Serious,Critical
SS-000331-PV1,40.59,Poor,Medium
SS-000332-PV1,28.91,Very Poor,High
SS-000333-PV1,34.26,Very Poor,High
SS-000334-PV1,58.56,Fair,Low
SS-000335-PV1,14.03,Serious,Critical
SS-000336-PV1,74.76,Satisfactory,Routine
SS-000337-PV1,90.16,Good,Routine
SS-000338-PV1,25.46,Very Poor,High
SS-000339-PV1,31.39,Very Poor,High
SS-000340-PV1,30.62,Very Poor,High
SS-000341-PV1,60.05,Fair,Low
SS-000343-PV1,40.63,Poor,Medium
SS-000344-PV1,62.73,Fair,Low
SS-000345-PV1,70.95,Satisfactory,Routine
SS-000346-PV1,93.2,Good,Routine
SS-000347-PV1,69.76,Fair,Low
SS-000348-PV1,77.08,Satisfactory,Routine
SS-000349-PV1,80.48,Satisfactory,Routine
SS-000350-PV1,81.04,Satisfactory,Routine
SS-000351-PV1,86.5,Good,Routine
SS-000352-PV1,82.24,Satisfactory,Routine
SS-000353-PV1,75.7,Satisfactory,Routine
SS-000354-PV1,70.39,Satisfactory,Routine
SS-000357-PV1,74.64,Satisfactory,Routine
SS-000358-PV1,94.73,Good,Routine
SS-000359-PV1,69.49,Fair,Low
SS-000360-PV1,48.61,Poor,Medium
SS-000361-PV1,74.83,Satisfactory,Routine
SS-000362-PV1,71.38,Satisfactory,Routine
SS-000363-PV1,81.26,Satisfactory,Routine
SS-000364-PV1,83.0,Satisfactory,Routine
SS-000367-PV1,67.67,Fair,Low
SS-000369-PV1,78.03,Satisfactory,Routine
SS-000370-PV1,35.83,Very Poor,High
SS-000371-PV1,58.12,Fair,Low
SS-000372-PV1,64.48,Fair,Low
SS-000373-PV1,42.07,Poor,Medium
SS-000374-PV1,30.67,Very Poor,High
SS-000376-PV1,83.31,Satisfactory,Routine
SS-000377-PV1,80.34,Satisfactory,Routine
SS-000378-PV1,70.35,Satisfactory,Routine
SS-000379-PV1,76.03,Satisfactory,Routine
SS-000380-PV1,96.44,Good,Routine
SS-000381-PV1,52.09,Poor,Medium
SS-000382-PV1,78.28,Satisfactory,Routine
SS-000383-PV1,49.95,Poor,Medium
SS-000386-PV1,40.29,Poor,Medium
SS-000387-PV1,66.11,Fair,Low
SS-000388-PV1,45.08,Poor,Medium
SS-000390-PV1,6.6,Failed,Critical
SS-000393-PV1,48.48,Poor,Medium
SS-000394-PV1,69.61,Fair,Low
SS-000395-PV1,94.73,Good,Routine
SS-000396-PV1,49.22,Poor,Medium
SS-000399-PV1,88.68,Good,Routine
SS-000400-PV1,75.93,Satisfactory,Routine
SS-000401-PV1,42.54,Poor,Medium
SS-000402-PV1,44.82,Poor,Medium
SS-000403-PV1,48.6,Poor,Medium
SS-000405-PV1,28.95,Very Poor,High
SS-000406-PV1,20.65,Serious,Critical
SS-000407-PV1,22.22,Serious,Critical
SS-000408-PV1,54.71,Poor,Medium
SS-000409-PV1,59.38,Fair,Low
SS-000410-PV1,22.97,Serious,Critical
SS-000411-PV1,81.7,Satisfactory,Routine
SS-000412-PV1,64.84,Fair,Low
SS-000414-PV1,19.05,Serious,Critical
SS-000415-PV1,77.82,Satisfactory,Routine
SS-000416-PV1,57.21,Fair,Low
SS-000417-PV1,40.97,Poor,Medium
SS-000418-PV1,49.77,Poor,Medium
SS-000419-PV1,47.16,Poor,Medium
SS-000420-PV1,29.4,Very Poor,High
SS-000421-PV1,70.5,Satisfactory,Routine
SS-000422-PV1,32.05,Very Poor,High
SS-000424-PV1,41.12,Poor,Medium
SS-000425-PV1,27.36,Very Poor,High
SS-000426-PV1,52.23,Poor,Medium
SS-000427-PV1,65.24,Fair,Low
SS-000428-PV1,76.4,Satisfactory,Routine
SS-000429-PV1,66.98,Fair,Low
SS-000430-PV1,82.96,Satisfactory,Routine
SS-000431-PV1,49.7,Poor,Medium
SS-000432-PV1,44.95,Poor,Medium
SS-000433-PV1,63.4,Fair,Low
SS-000434-PV1,58.36,Fair,Low
SS-000435-PV1,43.99,Poor,Medium
SS-000436-PV1,41.56,Poor,Medium
SS-000437-PV1,45.09,Poor,Medium
SS-000438-PV1,27.77,Very Poor,High
SS-000439-PV1,81.84,Satisfactory,Routine
SS-000440-PV1,88.04,Good,Routine
SS-000441-PV1,86.6,Good,Routine
SS-000442-PV1,84.46,Satisfactory,Routine
SS-000444-PV1,33.72,Very Poor,High
SS-000445-PV1,64.31,Fair,Low
SS-000446-PV1,73.25,Satisfactory,Routine
SS-000447-PV1,71.05,Satisfactory,Routine
SS-000448-PV1,76.87,Satisfactory,Routine
SS-000449-PV1,73.97,Satisfactory,Routine
SS-000450-PV1,72.75,Satisfactory,Routine
SS-000451-PV1,83.75,Satisfactory,Routine
SS-000452-PV1,59.37,Fair,Low
SS-000453-PV1,56.43,Fair,Low
SS-000454-PV1,65.5,Fair,Low
SS-000455-PV1,28.83,Very Poor,High
SS-000456-PV1,78.72,Satisfactory,Routine
SS-000457-PV1,78.69,Satisfactory,Routine
SS-000458-PV1,75.55,Satisfactory,Routine
SS-000459-PV1,80.21,Satisfactory,Routine
SS-000460-PV1,80.88,Satisfactory,Routine
SS-000461-PV1,79.44,Satisfactory,Routine
SS-000462-PV1,67.62,Fair,Low
SS-000463-PV1,71.49,Satisfactory,Routine
SS-000464-PV1,82.61,Satisfactory,Routine
SS-000465-PV1,100.0,Good,Routine
SS-000466-PV1,40.62,Poor,Medium
SS-000467-PV1,49.35,Poor,Medium
SS-000468-PV1,83.82,Satisfactory,Routine
SS-000469-PV1,79.32,Satisfactory,Routine
SS-000470-PV1,76.7,Satisfactory,Routine
SS-000471-PV1,84.6,Satisfactory,Routine
SS-000472-PV1,77.51,Satisfactory,Routine
SS-000473-PV1,77.35,Satisfactory,Routine
SS-000474-PV1,41.36,Poor,Medium
SS-000475-PV1,46.54,Poor,Medium
SS-000476-PV1,55.03,Fair,Low
SS-000477-PV1,83.02,Satisfactory,Routine
SS-000478-PV1,29.09,Very Poor,High
SS-000479-PV1,49.79,Poor,Medium
SS-000480-PV1,79.2,Satisfactory,Routine
SS-000481-PV1,89.8,Good,Routine
SS-000482-PV1,42.52,Poor,Medium
SS-000483-PV1,42.86,Poor,Medium
SS-000484-PV1,72.72,Satisfactory,Routine
SS-000485-PV1,67.96,Fair,Low
SS-000486-PV1,60.82,Fair,Low
SS-000487-PV1,68.65,Fair,Low
SS-000488-PV1,58.53,Fair,Low
SS-000489-PV1,70.1,Satisfactory,Routine
SS-000491-PV1,86.11,Good,Routine
SS-000492-PV1,55.45,Fair,Low
SS-000493-PV1,48.22,Poor,Medium
SS-000494-PV1,89.2,Good,Routine
SS-000495-PV1,89.4,Good,Routine
SS-000496-PV1,86.0,Good,Routine
SS-000497-PV1,47.85,Poor,Medium
SS-000498-PV1,75.86,Satisfactory,Routine
SS-000500-PV1,77.5,Satisfactory,Routine
SS-000501-PV1,74.92,Satisfactory,Routine
SS-000504-PV1,78.69,Satisfactory,Routine
SS-000505-PV1,80.83,Satisfactory,Routine
SS-000506-PV1,66.88,Fair,Low
SS-000507-PV1,46.29,Poor,Medium
SS-000508-PV1,77.52,Satisfactory,Routine
SS-000509-PV1,72.88,Satisfactory,Routine
SS-000510-PV1,76.83,Satisfactory,Routine
SS-000511-PV1,91.0,Good,Routine
SS-000512-PV1,100.0,Good,Routine
SS-000513-PV1,92.4,Good,Routine
SS-000514-PV1,93.6,Good,Routine
SS-000515-PV1,5.57,Failed,Critical
SS-000516-PV1,68.71,Fair,Low
SS-000517-PV1,57.85,Fair,Low
SS-000518-PV1,87.0,Good,Routine
SS-000519-PV1,69.19,Fair,Low
SS-000520-PV1,43.35,Poor,Medium
SS-000521-PV1,61.45,Fair,Low
SS-000522-PV1,84.88,Satisfactory,Routine
SS-000523-PV1,100.0,Good,Routine
SS-000524-PV1,62.28,Fair,Low
SS-000525-PV1,54.55,Poor,Medium
SS-000526-PV1,37.92,Very Poor,High
SS-000527-PV1,47.13,Poor,Medium
SS-000528-PV1,43.1,Poor,Medium
SS-000529-PV1,64.93,Fair,Low
SS-000530-PV1,61.79,Fair,Low
SS-000531-PV1,81.35,Satisfactory,Routine
SS-000532-PV1,98.4,Good,Routine
SS-000533-PV1,95.85,Good,Routine
SS-000534-PV1,83.86,Satisfactory,Routine
SS-000535-PV1,19.63,Serious,Critical
SS-000536-PV1,8.06,Failed,Critical
SS-000537-PV1,12.83,Serious,Critical
SS-000538-PV1,60.95,Fair,Low
SS-000539-PV1,74.83,Satisfactory,Routine
SS-000540-PV1,71.87,Satisfactory,Routine
SS-000541-PV1,76.52,Satisfactory,Routine
SS-000542-PV1,67.94,Fair,Low
SS-000543-PV1,84.91,Satisfactory,Routine
SS-000544-PV1,78.65,Satisfactory,Routine
SS-000545-PV1,71.04,Satisfactory,Routine
SS-000546-PV1,87.42,Good,Routine
SS-000547-PV1,100.0,Good,Routine
SS-000548-PV1,82.31,Satisfactory,Routine
SS-000549-PV1,75.8,Satisfactory,Routine
SS-000550-PV1,19.4,Serious,Critical
SS-000551-PV1,12.7,Serious,Critical
SS-000552-PV1,11.57,Serious,Critical
SS-000553-PV1,27.5,Very Poor,High
SS-000554-PV1,98.88,Good,Routine
SS-000555-PV1,100.0,Good,Routine
SS-000556-PV1,19.47,Serious,Critical
SS-000557-PV1,14.97,Serious,Critical
SS-000558-PV1,12.89,Serious,Critical
SS-000559-PV1,18.1,Serious,Critical
SS-000560-PV1,25.0,Very Poor,High
SS-000561-PV1,92.06,Good,Routine
SS-000562-PV1,84.19,Satisfactory,Routine
SS-000563-PV1,31.29,Very Poor,High
SS-000564-PV1,17.7,Serious,Critical
SS-000565-PV1,23.01,Serious,Critical
SS-000566-PV1,43.77,Poor,Medium
SS-000567-PV1,46.09,Poor,Medium
SS-000568-PV1,28.78,Very Poor,High
SS-000569-PV1,54.45,Poor,Medium
SS-000570-PV1,80.2,Satisfactory,Routine
SS-000571-PV1,80.4,Satisfactory,Routine
SS-000572-PV1,94.8,Good,Routine
SS-000573-PV1,79.72,Satisfactory,Routine
SS-000574-PV1,64.77,Fair,Low
SS-000575-PV1,57.03,Fair,Low
SS-000576-PV1,54.61,Poor,Medium
SS-000577-PV1,58.96,Fair,Low
SS-000579-PV1,80.68,Satisfactory,Routine
SS-000580-PV1,61.75,Fair,Low
SS-000581-PV1,68.79,Fair,Low
SS-000582-PV1,58.96,Fair,Low
SS-000583-PV1,50.94,Poor,Medium
SS-000589-PV1,74.98,Satisfactory,Routine
SS-000590-PV1,83.99,Satisfactory,Routine
SS-000591-PV1,77.89,Satisfactory,Routine
SS-000592-PV1,76.94,Satisfactory,Routine
SS-000594-PV1,79.24,Satisfactory,Routine
SS-000595-PV1,64.28,Fair,Low
SS-000596-PV1,82.5,Satisfactory,Routine
SS-000597-PV1,85.92,Good,Routine
SS-000598-PV1,55.41,Fair,Low
SS-000600-PV1,84.93,Satisfactory,Routine
SS-000601-PV1,88.54,Good,Routine
SS-000602-PV1,68.73,Fair,Low
SS-000603-PV1,44.37,Poor,Medium
SS-000604-PV1,93.44,Good,Routine
SS-000605-PV1,96.21,Good,Routine
SS-000606-PV1,79.07,Satisfactory,Routine
SS-000607-PV1,77.53,Satisfactory,Routine
SS-000608-PV1,87.79,Good,Routine
SS-000609-PV1,79.81,Satisfactory,Routine
SS-000610-PV1,77.46,Satisfactory,Routine
SS-000611-PV1,83.58,Satisfactory,Routine
SS-000612-PV1,85.2,Good,Routine
SS-000613-PV1,83.02,Satisfactory,Routine
SS-000614-PV1,80.42,Satisfactory,Routine
SS-000615-PV1,75.54,Satisfactory,Routine
SS-000616-PV1,80.16,Satisfactory,Routine
SS-000617-PV1,76.56,Satisfactory,Routine
SS-000618-PV1,72.27,Satisfactory,Routine
SS-000619-PV1,70.69,Satisfactory,Routine
SS-000622-PV1,77.3,Satisfactory,Routine
SS-000623-PV1,92.4,Good,Routine
SS-000624-PV1,98.0,Good,Routine
SS-000625-PV1,100.0,Good,Routine
SS-000626-PV1,99.0,Good,Routine
SS-000627-PV1,84.46,Satisfactory,Routine
SS-000628-PV1,71.92,Satisfactory,Routine
SS-000629-PV1,75.31,Satisfactory,Routine
SS-000630-PV1,72.71,Satisfactory,Routine
SS-000631-PV1,76.9,Satisfactory,Routine
SS-000632-PV1,56.92,Fair,Low
SS-000635-PV1,61.67,Fair,Low
SS-000636-PV1,54.25,Poor,Medium
SS-000637-PV1,22.02,Serious,Critical
SS-000638-PV1,76.8,Satisfactory,Routine
SS-000639-PV1,63.66,Fair,Low
SS-000641-PV1,17.88,Serious,Critical
SS-000642-PV1,49.78,Poor,Medium
SS-000643-PV1,63.52,Fair,Low
SS-000644-PV1,62.92,Fair,Low
SS-000645-PV1,63.11,Fair,Low
SS-000646-PV1,73.3,Satisfactory,Routine
SS-000647-PV1,44.81,Poor,Medium
SS-000648-PV1,98.0,Good,Routine
SS-000649-PV1,94.0,Good,Routine
SS-000650-PV1,100.0,Good,Routine
SS-000651-PV1,100.0,Good,Routine
SS-000652-PV1,84.05,Satisfactory,Routine
SS-000653-PV1,73.31,Satisfactory,Routine
SS-000654-PV1,53.65,Poor,Medium
SS-000655-PV1,81.55,Satisfactory,Routine
SS-000656-PV1,86.12,Good,Routine
SS-000657-PV1,84.78,Satisfactory,Routine
SS-000658-PV1,81.98,Satisfactory,Routine
SS-000659-PV1,92.92,Good,Routine
SS-000660-PV1,100.0,Good,Routine
SS-000661-PV1,85.84,Good,Routine
SS-000662-PV1,84.0,Satisfactory,Routine
SS-000663-PV1,100.0,Good,Routine
SS-000664-PV1,94.71,Good,Routine
SS-000665-PV1,90.87,Good,Routine
SS-000666-PV1,93.32,Good,Routine
SS-000667-PV1,87.84,Good,Routine
SS-000668-PV1,92.88,Good,Routine
SS-000669-PV1,89.07,Good,Routine
SS-000670-PV1,94.47,Good,Routine
SS-000674-PV1,91.25,Good,Routine
SS-000676-PV1,100.0,Good,Routine
SS-000677-PV1,86.03,Good,Routine
SS-000678-PV1,93.91,Good,Routine
SS-000679-PV1,83.21,Satisfactory,Routine
SS-000680-PV1,81.47,Satisfactory,Routine
SS-000681-PV1,80.68,Satisfactory,Routine
SS-000682-PV1,99.2,Good,Routine
SS-000683-PV1,96.97,Good,Routine
